method,time
Standard,0.0002779960632324219
RSR,0.00020003318786621094
Standard,0.0006776270015123794
RSR,0.00021600723266601562
Standard,0.00032639503479003906
RSR,0.00022149085998535156
Standard,0.00029158592224121094
RSR,0.00023221969604492188
Standard,0.00030231475830078125
RSR,0.0002262592315673828
Standard,0.00030231475830078125
RSR,0.00020360946655273438
Standard,9.369850158691406e-05
RSR,0.00022459030151367188
Standard,6.969018222299351e-05
RSR,0.00019550323486328125
Standard,0.00026103897544045096
RSR,0.0002079010009765625
Standard,0.00031566619873046875
RSR,0.0002117156982421875
Standard,0.00033736228942871094
RSR,0.0002536773681640625
Standard,0.0003905296325683594
RSR,0.00020456314086914062
Standard,0.0003275871276855469
RSR,0.00020647048950195312
Standard,0.00032255393611217665
RSR,0.0001888275146484375
Standard,0.00029540061950683594
RSR,0.00020551681518554688
Standard,0.0002808570861816406
RSR,0.00020194053649902344
Standard,0.0001955403984110481
RSR,0.00020623207092285156
Standard,0.0002758502960205078
RSR,0.00020599365234375
Standard,0.0003769397735595703
RSR,0.00021266937255859375
Standard,0.0003218650817871094
RSR,0.0002052783966064453
Standard,0.00039076805114746094
RSR,0.00018978118896484375
Standard,0.0005430515332132173
RSR,0.00021219253540039062
Standard,0.00031876564025878906
RSR,0.0002079010009765625
Standard,0.0005185380724152697
RSR,0.00022673606872558594
Standard,0.00032711029052734375
RSR,0.00021266937255859375
Standard,0.0002778372842705712
RSR,0.00022411346435546875
Standard,0.0003108978271484375
